Test Suite,Test,Test#,Type,Pattern,Lower,Upper,Unit,Min,Max,Mean,Sdev,Cpk,Cpl,Cpu,Device#,Fail#,Alarm#,Time,TS Time
"Opens_T_Functional","Opens_T",7050,"Parametric","",1,1,"",1,1,1,0,***,***,***,20,0,0,0.0756129,***
"EVENPINS_Shorts","EVENPINS_Shorts",14003001,"Parametric","",-400,400,"nA",-17,-8,-10.18,2.2469,57.8307,57.8307,60.8512,50,0,0,0.0381203,***
"EVENPINS_Shorts","EVENPINS_Shorts",14003002,"Parametric","",-400,400,"nA",-17,-8,-11.18,2.14467,60.4321,60.4321,63.9074,50,0,0,0.0381203,***
"EVENPINS_Shorts","EVENPINS_Shorts",14003003,"Parametric","",-400,400,"nA",-17,-9,-10.94,1.87801,69.0552,69.0552,72.9387,50,0,0,0.0381203,***
"EVENPINS_Shorts","EVENPINS_Shorts",14003004,"Parametric","",-400,400,"nA",-16,-7,-9.52,2.26995,57.3406,57.3406,60.1365,50,0,0,0.0381203,***
"EVENPINS_Shorts","EVENPINS_Shorts",14003005,"Parametric","",-400,400,"nA",-19,-8,-10.88,2.56061,50.6546,50.6546,53.4872,50,0,0,0.0381203,***
"EVENPINS_Shorts","EVENPINS_Shorts",14003006,"Parametric","",-400,400,"nA",-16,-9,-10.66,1.95469,66.3941,66.3941,70.0298,50,0,0,0.0381203,***
"EVENPINS_Shorts","EVENPINS_Shorts",14003007,"Parametric","",-400,400,"nA",-17,-9,-11.22,2.188,59.2291,59.2291,62.6478,50,0,0,0.0381203,***
"EVENPINS_Shorts","EVENPINS_Shorts",14003008,"Parametric","",-400,400,"nA",-17,-7,-10.5,2.23379,58.1226,58.1226,61.2563,50,0,0,0.0381203,***
"EVENPINS_Shorts","EVENPINS_Shorts",14003009,"Parametric","",-400,400,"nA",-18,-8,-11.5,2.35822,54.9142,54.9142,58.1652,50,0,0,0.0381203,***
"EVENPINS_Shorts","EVENPINS_Shorts",14003010,"Parametric","",-400,400,"nA",-16,-9,-11.04,1.93739,66.9217,66.9217,70.7207,50,0,0,0.0381203,***
"EVENPINS_Shorts","EVENPINS_Shorts",14003011,"Parametric","",-400,400,"nA",-15,-7,-9.7,2.23379,58.2419,58.2419,61.1369,50,0,0,0.0381203,***
"EVENPINS_Shorts","EVENPINS_Shorts",14003012,"Parametric","",-400,400,"nA",-19,-7,-12.1,2.72741,47.4076,47.4076,50.3652,50,0,0,0.0381203,***
"EVENPINS_Shorts","EVENPINS_Shorts",14003013,"Parametric","",-400,400,"nA",-16,-7,-10.26,2.47279,52.5371,52.5371,55.3032,50,0,0,0.0381203,***
"EVENPINS_Shorts","EVENPINS_Shorts",14003014,"Parametric","",-400,400,"nA",-18,-8,-11.02,2.55942,50.66,50.66,53.5304,50,0,0,0.0381203,***
"EVENPINS_Shorts","EVENPINS_Shorts",14003015,"Parametric","",-400,400,"nA",-17,-8,-10.64,2.10694,61.5997,61.5997,64.9663,50,0,0,0.0381203,***
"EVENPINS_Shorts","EVENPINS_Shorts",14003016,"Parametric","",-400,400,"nA",-15,-8,-10.02,1.87888,69.1865,69.1865,72.7418,50,0,0,0.0381203,***
"EVENPINS_Shorts","EVENPINS_Shorts",14003017,"Parametric","",-400,400,"nA",-17,-8,-10.74,2.17415,59.68,59.68,62.9732,50,0,0,0.0381203,***
"EVENPINS_Shorts","EVENPINS_Shorts",14003018,"Parametric","",-400,400,"nA",-24,-11,-14.18,3.08181,41.7309,41.7309,44.7984,50,0,0,0.0381203,***
"EVENPINS_Shorts","EVENPINS_Shorts",14003019,"Parametric","",-400,400,"nA",-17,-8,-11.1,2.12132,61.1097,61.1097,64.5981,50,0,0,0.0381203,***
"EVENPINS_Shorts","EVENPINS_Shorts",14003020,"Parametric","",-400,400,"nA",-18,-9,-11.32,1.96334,65.9897,65.9897,69.8335,50,0,0,0.0381203,***
