Device,Device ID,Wafer,Site,P/F,SW Bin,HW Bin,Time,All Fail Bins
1,"1",0,1,1,"1",1,5742,""
2,"2",0,2,1,"1",1,5742,""
3,"3",0,3,1,"1",1,5742,""
4,"4",0,4,0,"14",8,5742,""
5,"1",0,1,1,"1",1,19074,""
6,"2",0,2,1,"1",1,19074,""
7,"3",0,3,1,"1",1,19074,""
8,"4",0,4,0,"14",8,19074,""
9,"1",0,1,1,"1",1,17021,""
10,"2",0,2,1,"1",1,17021,""
11,"4",0,3,1,"1",1,17021,""
12,"3",0,4,1,"1",1,17021,""
13,"1",0,1,1,"1",1,16920,""
14,"2",0,2,1,"1",1,16920,""
15,"4",0,3,1,"1",1,16920,""
16,"3",0,4,1,"1",1,16920,""
17,"5",0,1,1,"1",1,17054,""
18,"6",0,2,1,"1",1,17054,""
19,"7",0,3,1,"1",1,17054,""
20,"8",0,4,1,"1",1,17054,""
21,"9",0,1,1,"1",1,16985,""
22,"10",0,2,1,"1",1,16985,""
23,"11",0,3,1,"1",1,16985,""
24,"12",0,4,1,"1",1,16985,""
25,"13",0,1,1,"1",1,16999,""
26,"14",0,2,1,"1",1,16999,""
27,"15",0,3,1,"1",1,16999,""
28,"16",0,4,1,"1",1,16999,""
29,"17",0,1,1,"1",1,17065,""
30,"18",0,2,1,"1",1,17065,""
31,"19",0,3,1,"1",1,17065,""
32,"20",0,4,1,"1",1,17065,""
33,"21",0,1,1,"1",1,16896,""
34,"22",0,2,1,"1",1,16896,""
35,"23",0,3,1,"1",1,16896,""
36,"24",0,4,0,"14",8,16896,""
37,"21",0,1,1,"1",1,16729,""
38,"22",0,2,1,"1",1,16729,""
39,"23",0,3,1,"1",1,16729,""
40,"24",0,4,0,"14",8,16729,""
41,"21",0,1,1,"1",1,17076,""
42,"22",0,2,1,"1",1,17076,""
43,"23",0,3,1,"1",1,17076,""
44,"24",0,4,1,"1",1,17076,""
45,"21",0,1,1,"1",1,17042,""
46,"22",0,2,1,"1",1,17042,""
47,"24",0,3,1,"1",1,17042,""
48,"23",0,4,1,"1",1,17042,""
49,"21",0,1,1,"1",1,16075,""
50,"22",0,2,1,"1",1,16075,""
51,"24",0,3,1,"1",1,16075,""
52,"23",0,4,1,"1",1,16075,""
53,"25",0,1,1,"1",1,16962,""
54,"26",0,2,1,"1",1,16962,""
55,"27",0,3,1,"1",1,16962,""
56,"28",0,4,1,"1",1,16962,""
57,"29",0,1,1,"1",1,16154,""
58,"30",0,2,1,"1",1,16154,""
