Test Suite,Test,Test#,Type,Pattern,Lower,Upper,Unit,Min,Max,Mean,Sdev,Cpk,Cpl,Cpu,Device#,Fail#,Alarm#,Time,TS Time
"Opens_T_Functional","Opens_T",7050,"Parametric","",1,1,"",1,1,1,0,***,***,***,54,0,0,0.0418081,***
"EVENPINS_Shorts","EVENPINS_Shorts",14003001,"Parametric","",-400,400,"nA",-11,-1,-7.62963,2.32538,56.2445,56.2445,58.4319,54,0,0,0.0338116,***
"EVENPINS_Shorts","EVENPINS_Shorts",14003002,"Parametric","",-400,400,"nA",-13,0,-8.61111,2.80442,46.5205,46.5205,48.5675,54,0,0,0.0338116,***
"EVENPINS_Shorts","EVENPINS_Shorts",14003003,"Parametric","",-400,400,"nA",-13,-3,-9.25926,2.19936,59.2204,59.2204,62.0271,54,0,0,0.0338116,***
"EVENPINS_Shorts","EVENPINS_Shorts",14003004,"Parametric","",-400,400,"nA",-12,-2,-7.98148,2.32696,56.156,56.156,58.4427,54,0,0,0.0338116,***
"EVENPINS_Shorts","EVENPINS_Shorts",14003005,"Parametric","",-400,400,"nA",-13,-1,-8.27778,2.70859,48.2073,48.2073,50.2447,54,0,0,0.0338116,***
"EVENPINS_Shorts","EVENPINS_Shorts",14003006,"Parametric","",-400,400,"nA",-12,-2,-8.59259,2.31906,56.2594,56.2594,58.7295,54,0,0,0.0338116,***
"EVENPINS_Shorts","EVENPINS_Shorts",14003007,"Parametric","",-400,400,"nA",-12,-2,-8.7963,2.2181,58.7895,58.7895,61.4333,54,0,0,0.0338116,***
"EVENPINS_Shorts","EVENPINS_Shorts",14003008,"Parametric","",-400,400,"nA",-13,-2,-8.2963,2.43891,53.5353,53.5353,55.8031,54,0,0,0.0338116,***
"EVENPINS_Shorts","EVENPINS_Shorts",14003009,"Parametric","",-400,400,"nA",-12,-1,-8.48148,2.40864,54.1826,54.1826,56.5301,54,0,0,0.0338116,***
"EVENPINS_Shorts","EVENPINS_Shorts",14003010,"Parametric","",-400,400,"nA",-13,-3,-8.90741,2.54224,51.2793,51.2793,53.6152,54,0,0,0.0338116,***
"EVENPINS_Shorts","EVENPINS_Shorts",14003011,"Parametric","",-400,400,"nA",-13,-1,-8.31481,2.98312,43.7668,43.7668,45.625,54,0,0,0.0338116,***
"EVENPINS_Shorts","EVENPINS_Shorts",14003012,"Parametric","",-400,400,"nA",-14,0,-9.14815,3.09234,42.1312,42.1312,44.1035,54,0,0,0.0338116,***
"EVENPINS_Shorts","EVENPINS_Shorts",14003013,"Parametric","",-400,400,"nA",-14,-1,-8.14815,2.98681,43.7314,43.7314,45.5501,54,0,0,0.0338116,***
"EVENPINS_Shorts","EVENPINS_Shorts",14003014,"Parametric","",-400,400,"nA",-13,-1,-8.05556,2.46038,53.1008,53.1008,55.2836,54,0,0,0.0338116,***
"EVENPINS_Shorts","EVENPINS_Shorts",14003015,"Parametric","",-400,400,"nA",-13,-2,-8.88889,2.49276,52.2997,52.2997,54.6769,54,0,0,0.0338116,***
"EVENPINS_Shorts","EVENPINS_Shorts",14003016,"Parametric","",-400,400,"nA",-12,-2,-8.5,2.29643,56.8274,56.8274,59.295,54,0,0,0.0338116,***
"EVENPINS_Shorts","EVENPINS_Shorts",14003017,"Parametric","",-400,400,"nA",-12,-2,-8.01852,2.42231,53.9405,53.9405,56.1474,54,0,0,0.0338116,***
"EVENPINS_Shorts","EVENPINS_Shorts",14003018,"Parametric","",-400,400,"nA",-15,-4,-10.9444,2.81785,46.0228,46.0228,48.6121,54,0,0,0.0338116,***
"EVENPINS_Shorts","EVENPINS_Shorts",14003019,"Parametric","",-400,400,"nA",-12,-1,-8.59259,2.47644,52.6841,52.6841,54.9972,54,0,0,0.0338116,***
"EVENPINS_Shorts","EVENPINS_Shorts",14003020,"Parametric","",-400,400,"nA",-13,-2,-9.31481,2.44042,53.3632,53.3632,55.9078,54,0,0,0.0338116,***
"EVENPINS_Shorts","EVENPINS_Shorts",14003021,"Parametric","",-400,400,"nA",-12,-1,-8.38889,2.39824,54.4303,54.4303,56.7622,54,0,0,0.0338116,***
"EVENPINS_Shorts","EVENPINS_Shorts",14003022,"Parametric","",-400,400,"nA",-12,-1,-7.5,2.61166,50.0959,50.0959,52.0104,54,0,0,0.0338116,***
"EVENPINS_Shorts","EVENPINS_Shorts",14003023,"Parametric","",-400,400,"nA",-13,0,-8.24074,2.7673,47.1892,47.1892,49.1744,54,0,0,0.0338116,***
"EVENPINS_Shorts","EVENPINS_Shorts",14003024,"Parametric","",-400,400,"nA",-12,-2,-8.48148,2.31273,56.4296,56.4296,58.8744,54,0,0,0.0338116,***
"EVENPINS_Shorts","EVENPINS_Shorts",14003025,"Parametric","",-400,400,"nA",-12,-2,-8.07407,2.3859,54.7558,54.7558,57.0119,54,0,0,0.0338116,***
"EVENPINS_Shorts","EVENPINS_Shorts",14003026,"Parametric","",-400,400,"nA",-12,0,-8,2.70569,48.2933,48.2933,50.2645,54,0,0,0.0338116,***
"EVENPINS_Shorts","EVENPINS_Shorts",14003027,"Parametric","",-400,400,"nA",-12,-2,-8.42593,2.33595,55.8764,55.8764,58.2811,54,0,0,0.0338116,***
"EVENPINS_Shorts","EVENPINS_Shorts",14003028,"Parametric","",-400,400,"nA",-13,-2,-9.5,2.40086,54.2166,54.2166,56.8545,54,0,0,0.0338116,***
"EVENPINS_Shorts","EVENPINS_Shorts",14003029,"Parametric","",-400,400,"nA",-14,-1,-8.83333,2.89925,44.9733,44.9733,47.0045,54,0,0,0.0338116,***
"EVENPINS_Shorts","EVENPINS_Shorts",14003030,"Parametric","",-400,400,"nA",-14,-1,-8.57407,2.91775,44.7177,44.7177,46.6768,54,0,0,0.0338116,***
"EVENPINS_Shorts","EVENPINS_Shorts",14003031,"Parametric","",-400,400,"nA",-15,-1,-8.33333,3.30808,39.4657,39.4657,41.145,54,0,0,0.0338116,***
"EVENPINS_Shorts","EVENPINS_Shorts",14003032,"Parametric","",-400,400,"nA",-12,-2,-8.33333,2.41848,53.9824,53.9824,56.2796,54,0,0,0.0338116,***
"EVENPINS_Shorts","EVENPINS_Shorts",14003033,"Parametric","",-400,400,"nA",-12,-1,-8.05556,2.53591,51.5193,51.5193,53.6371,54,0,0,0.0338116,***
"EVENPINS_Shorts","EVENPINS_Shorts",14003034,"Parametric","",-400,400,"nA",-10,-1,-7.33333,2.25706,57.9908,57.9908,60.1568,54,0,0,0.0338116,***
"EVENPINS_Shorts","EVENPINS_Shorts",14003035,"Parametric","",-400,400,"nA",-12,-2,-7.96296,2.32268,56.2622,56.2622,58.5478,54,0,0,0.0338116,***
"EVENPINS_Shorts","EVENPINS_Shorts",14003036,"Parametric","",-400,400,"nA",-12,0,-8.40741,2.90425,44.9448,44.9448,46.8747,54,0,0,0.0338116,***
"EVENPINS_Shorts","EVENPINS_Shorts",14003037,"Parametric","",-400,400,"nA",-12,-2,-8.01852,2.22754,58.657,58.657,61.0568,54,0,0,0.0338116,***
"EVENPINS_Shorts","EVENPINS_Shorts",14003038,"Parametric","",-400,400,"nA",-13,-3,-8.88889,2.31212,56.3856,56.3856,58.9486,54,0,0,0.0338116,***
"EVENPINS_Shorts","EVENPINS_Shorts",14003039,"Parametric","",-400,400,"nA",-12,-2,-8.27778,2.41393,54.092,54.092,56.3781,54,0,0,0.0338116,***
"EVENPINS_Shorts","EVENPINS_Shorts",14003040,"Parametric","",-400,400,"nA",-12,-2,-8.38889,2.33446,55.9175,55.9175,58.3132,54,0,0,0.0338116,***
"EVENPINS_Shorts","EVENPINS_Shorts",14003041,"Parametric","",-400,400,"nA",-10,-1,-5.96296,2.16283,60.7285,60.7285,62.5665,54,0,0,0.0338116,***
"EVENPINS_Shorts","EVENPINS_Shorts",14003042,"Parametric","",-400,400,"nA",-12,0,-7.46296,2.72454,48.0248,48.0248,49.8509,54,0,0,0.0338116,***
"EVENPINS_Shorts","EVENPINS_Shorts",14003043,"Parametric","",-400,400,"nA",-12,-3,-8.59259,2.25304,57.9081,57.9081,60.4507,54,0,0,0.0338116,***
"EVENPINS_Shorts","EVENPINS_Shorts",14003044,"Parametric","",-400,400,"nA",-12,-2,-8.2037,2.49058,52.437,52.437,54.6329,54,0,0,0.0338116,***
"EVENPINS_Shorts","EVENPINS_Shorts",14003045,"Parametric","",-400,400,"nA",-12,-3,-8.88889,2.32027,56.1876,56.1876,58.7416,54,0,0,0.0338116,***
"EVENPINS_Shorts","EVENPINS_Shorts",14003046,"Parametric","",-400,400,"nA",-12,-1,-8.03704,2.38678,54.7408,54.7408,56.9857,54,0,0,0.0338116,***
"EVENPINS_Shorts","EVENPINS_Shorts",14003047,"Parametric","",-400,400,"nA",-13,-3,-9.09259,2.37335,54.9024,54.9024,57.4565,54,0,0,0.0338116,***
"EVENPINS_Shorts","EVENPINS_Shorts",14003048,"Parametric","",-400,400,"nA",-14,-3,-9,2.61346,49.87,49.87,52.1658,54,0,0,0.0338116,***
"EVENPINS_Shorts","EVENPINS_Shorts",14003049,"Parametric","",-400,400,"nA",-10,-1,-7.11111,2.18629,59.9019,59.9019,62.0702,54,0,0,0.0338116,***
"EVENPINS_Shorts","EVENPINS_Shorts",14003050,"Parametric","",-400,400,"nA",-11,-3,-8.24074,2.06439,63.2567,63.2567,65.9179,54,0,0,0.0338116,***
"EVENPINS_Shorts","EVENPINS_Shorts",14003051,"Parametric","",-400,400,"nA",-12,-3,-9.24074,2.11852,61.4831,61.4831,64.391,54,0,0,0.0338116,***
"EVENPINS_Shorts","EVENPINS_Shorts",14003052,"Parametric","",-400,400,"nA",-12,-3,-9.09259,2.12149,61.4204,61.4204,64.2777,54,0,0,0.0338116,***
"EVENPINS_Shorts","EVENPINS_Shorts",14003053,"Parametric","",-400,400,"nA",-9,-2,-6.61111,1.45909,89.8711,89.8711,92.8918,54,0,0,0.0338116,***
"EVENPINS_Shorts","EVENPINS_Shorts",14003054,"Parametric","",-400,400,"nA",-14,-2,-8.53704,2.81313,46.3852,46.3852,48.4084,54,0,0,0.0338116,***
"EVENPINS_Shorts","EVENPINS_Shorts",14003055,"Parametric","",-400,400,"nA",-11,0,-8.12963,2.33146,56.0264,56.0264,58.3511,54,0,0,0.0338116,***
"EVENPINS_Shorts","EVENPINS_Shorts",14003056,"Parametric","",-400,400,"nA",-11,-1,-7.5,2.22125,58.9007,58.9007,61.1517,54,0,0,0.0338116,***
"EVENPINS_Shorts","EVENPINS_Shorts",14003057,"Parametric","",-400,400,"nA",-9,-2,-6.5,1.55102,84.5681,84.5681,87.3619,54,0,0,0.0338116,***
"EVENPINS_Shorts","EVENPINS_Shorts",14003058,"Parametric","",-400,400,"nA",-8,0,-5.44444,1.6214,81.1143,81.1143,83.3529,54,0,0,0.0338116,***
"EVENPINS_Shorts","EVENPINS_Shorts",14003059,"Parametric","",-400,400,"nA",-7,1,-4.53704,1.91038,69.0026,69.0026,70.5858,54,0,0,0.0338116,***
"EVENPINS_Shorts","EVENPINS_Shorts",14003060,"Parametric","",-400,400,"nA",-10,-2,-6.44444,1.83947,71.3169,71.3169,73.6525,54,0,0,0.0338116,***
"EVENPINS_Shorts","EVENPINS_Shorts",14003061,"Parametric","",-400,400,"nA",-13,-2,-7.98148,2.48384,52.6092,52.6092,54.7514,54,0,0,0.0338116,***
"EVENPINS_Shorts","EVENPINS_Shorts",14003062,"Parametric","",-400,400,"nA",-12,-2,-8.09259,2.25094,58.0361,58.0361,60.4329,54,0,0,0.0338116,***
"EVENPINS_Shorts","EVENPINS_Shorts",14003063,"Parametric","",-400,400,"nA",-13,-2,-8.77778,2.31212,56.4016,56.4016,58.9325,54,0,0,0.0338116,***
"EVENPINS_Shorts","EVENPINS_Shorts",14003064,"Parametric","",-400,400,"nA",-11,-2,-6.68519,1.7137,76.5042,76.5042,79.1048,54,0,0,0.0338116,***
"EVENPINS_Shorts","EVENPINS_Shorts",14003065,"Parametric","",-400,400,"nA",-9,-1,-5.7963,1.69772,77.3987,77.3987,79.6748,54,0,0,0.0338116,***
